"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","159.0","","","","1"
"2023-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","159.4","","","","1"
"2024-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","159.4","","","","1"
"2024-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","159.6","","","","1"
"2024-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","159.9","","","","1"
"2024-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","160.2","","","","1"
"2024-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","160.6","","","","1"
"2024-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","160.7","","","","1"
"2024-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","161.2","","","","1"
"2024-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","161.3","","","","1"
"2024-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","161.3","","","","1"
"2024-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","161.7","","","","1"
"2024-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","162.0","","","","1"
"2024-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","162.3","","","","1"
"2025-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","162.6","","","","1"
"2025-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","163.6","","","","1"
"2025-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","163.5","","","","1"
"2025-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","163.1","","","","1"
"2025-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","163.5","","","","1"
"2025-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","163.8","","","","1"


